*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
02/09/2025,-30.30,"The Elizabeth Theatr BRISBANE CITY","Card transaction of 30.30 AUD issued by The Elizabeth Theatr BRISBANE CITY","",,,"REVIEW - No rule matched",,,
31/08/2025,-4.50,"Sq *Koala Rescue Brisbane Woolloongabba","Card transaction of 4.50 AUD issued by Sq *Koala Rescue Brisbane Woolloongabba","",,,"REVIEW - No rule matched",,,
30/08/2025,-57.90,"Harris Farm Markets Pt WEST END","Card transaction of 57.90 AUD issued by Harris Farm Markets Pt WEST END","",,,"REVIEW - No rule matched",,,
28/08/2025,-104.02,"Next Practice Albion Albion","Card transaction of 104.02 AUD issued by Next Practice Albion Albion","",,,"REVIEW - No rule matched",,,
19/08/2025,-39.49,"Am.saily*Saily London","Card transaction of 25.64 USD issued by Am.saily*Saily London (fee: 0.14 AUD)","",,,"REVIEW - No rule matched",,,
19/08/2025,-0.14,"Am.saily*Saily London","Wise Charges for: CARD-2806246543","",,,"REVIEW - No rule matched",,,
18/08/2025,-47.85,"News Travels EAGLE FARM","Card transaction of 47.85 AUD issued by News Travels EAGLE FARM","",,,"REVIEW - No rule matched",,,
18/08/2025,-23.31,"Airport Retail Group A BRISBANE AIRP","Card transaction of 23.31 AUD issued by Airport Retail Group A BRISBANE AIRP","",,,"REVIEW - No rule matched",,,
18/08/2025,-21.40,"Yiros Shop Newmarket Newmarket","Card transaction of 21.40 AUD issued by Yiros Shop Newmarket Newmarket","",,,"REVIEW - No rule matched",,,
18/08/2025,-62.24,"Uniqlo Chermside Chermside","Card transaction of 62.24 AUD issued by Uniqlo Chermside Chermside","",,,"REVIEW - No rule matched",,,
14/08/2025,-234.80,"Cathaypacair1604558644714 SYDNEY","Card transaction of 234.80 AUD issued by Cathaypacair1604558644714 SYDNEY","",,,"REVIEW - No rule matched",,,
12/08/2025,-11.99,"Sq *Yozo Kelvin Grove","Card transaction of 11.99 AUD issued by Sq *Yozo Kelvin Grove","",,,"REVIEW - No rule matched",,,
12/08/2025,-63.81,"Sp Hero Packaging PYMBLE","Card transaction of 63.81 AUD issued by Sp Hero Packaging PYMBLE","",,,"REVIEW - No rule matched",,,
11/08/2025,-163.70,"Sp Vochlea Music +442032864236","Card transaction of 79.00 GBP issued by Sp Vochlea Music +442032864236","",,,"REVIEW - No rule matched",,,
11/08/2025,-163.68,"Sp Vochlea Music +442032864236","Card transaction of 79.00 GBP issued by Sp Vochlea Music +442032864236","",,,"REVIEW - No rule matched",,,
11/08/2025,-314.97,"Dhl Express Adc Brisbane","Card transaction of 314.97 AUD issued by Dhl Express Adc Brisbane","",,,"REVIEW - No rule matched",,,
09/08/2025,-107.74,"Linkt Brisbane BRISBANE","Card transaction of 107.74 AUD issued by Linkt Brisbane BRISBANE","",,,"REVIEW - No rule matched",,,
06/08/2025,-73.98,"Kogan.com Nu9jkvmp Melbourne","Card transaction of 73.98 AUD issued by Kogan.com Nu9jkvmp Melbourne","",,,"REVIEW - No rule matched",,,
06/08/2025,-41.20,"Five Star Cinemas NEW FARM","Card transaction of 41.20 AUD issued by Five Star Cinemas NEW FARM","",,,"REVIEW - No rule matched",,,
02/08/2025,-59.47,"Zone Fresh Gourmet Mar WINDSOR","Card transaction of 59.47 AUD issued by Zone Fresh Gourmet Mar WINDSOR","",,,"REVIEW - No rule matched",,,
31/07/2025,-138.18,"Casualse 18682286727","Card transaction of 89.09 USD issued by Casualse 18682286727 (fee: 0.48 AUD)","",,,"REVIEW - No rule matched",,,
31/07/2025,-0.48,"Casualse 18682286727","Wise Charges for: CARD-2741309469","",,,"REVIEW - No rule matched",,,
30/07/2025,-22.22,"Zeus Street Greek - W Windsor","Card transaction of 22.22 AUD issued by Zeus Street Greek - W Windsor","",,,"REVIEW - No rule matched",,,
24/07/2025,-0.50,"South Brisbane Station SOUTH BRISBAN","Card transaction of 0.50 AUD issued by South Brisbane Station SOUTH BRISBAN","",,,"REVIEW - No rule matched",,,
23/07/2025,-368.97,"Walter's Steakhouse Brisbane","Card transaction of 368.97 AUD issued by Walter's Steakhouse Brisbane","",,,"REVIEW - No rule matched",,,
14/07/2025,-6.00,"Sq *Noosavillebakery Noosaville","Card transaction of 6.00 AUD issued by Sq *Noosavillebakery Noosaville","",,,"REVIEW - No rule matched",,,
13/07/2025,-19.95,"Mcdonalds Caboolt Nth BURPENGARY","Card transaction of 19.95 AUD issued by Mcdonalds Caboolt Nth BURPENGARY","",,,"REVIEW - No rule matched",,,
07/07/2025,-60.00,"Modi Corporation RED HILL","Card transaction of 60.00 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
06/07/2025,-54.48,"Sp Heapsgood CAULFIELD NOR","Card transaction of 54.48 AUD issued by Sp Heapsgood CAULFIELD NOR","",,,"REVIEW - No rule matched",,,
05/07/2025,-15.80,"Sq *.la Arepa Brava 1800595310","Card transaction of 15.80 AUD issued by Sq *.la Arepa Brava 1800595310","",,,"REVIEW - No rule matched",,,
05/07/2025,-41.20,"Five Star Cinemas NEW FARM","Card transaction of 41.20 AUD issued by Five Star Cinemas NEW FARM","",,,"REVIEW - No rule matched",,,
25/06/2025,-126.00,"Linktree* Linktree COLLINGWOOD","Card transaction of 126.00 AUD issued by Linktree* Linktree COLLINGWOOD","",,,"REVIEW - No rule matched",,,
18/06/2025,-6.10,"Shafston Hotel BRISBANE","Card transaction of 6.10 AUD issued by Shafston Hotel BRISBANE","",,,"REVIEW - No rule matched",,,
18/06/2025,-40.99,"Shafston Hotel BRISBANE","Card transaction of 40.99 AUD issued by Shafston Hotel BRISBANE","",,,"REVIEW - No rule matched",,,
16/06/2025,-102.97,"Zone Fresh Gourmet Mar WINDSOR","Card transaction of 102.97 AUD issued by Zone Fresh Gourmet Mar WINDSOR","",,,"REVIEW - No rule matched",,,
15/06/2025,-30.00,"Modi Corporation RED HILL","Card transaction of 30.00 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
13/06/2025,-10.90,"Camp Hill Comnty&s C CAMP HILL","Card transaction of 10.90 AUD issued by Camp Hill Comnty&s C CAMP HILL","",,,"REVIEW - No rule matched",,,
13/06/2025,-76.00,"Wall Fabrics Pty Limit FORTITUDE VAL","Card transaction of 76.00 AUD issued by Wall Fabrics Pty Limit FORTITUDE VAL","",,,"REVIEW - No rule matched",,,
13/06/2025,-688.97,"Paypal *Wwwclotfpda 4029357733","Card transaction of 450.00 USD issued by Paypal *Wwwclotfpda 4029357733 (fee: 2.54 AUD)","",,,"REVIEW - No rule matched",,,
13/06/2025,-2.54,"Paypal *Wwwclotfpda 4029357733","Wise Charges for: CARD-2578911088","",,,"REVIEW - No rule matched",,,
08/06/2025,-24.57,"Zeit Fuer Brot Gmbh BERLIN","Card transaction of 14.00 EUR issued by Zeit Fuer Brot Gmbh BERLIN (fee: 0.09 AUD)","",,,"REVIEW - No rule matched",,,
08/06/2025,-0.09,"Zeit Fuer Brot Gmbh BERLIN","Wise Charges for: CARD-2564933524","",,,"REVIEW - No rule matched",,,
08/06/2025,-20.18,"Ls Dolores Mitte Berlin","Card transaction of 11.50 EUR issued by Ls Dolores Mitte Berlin (fee: 0.07 AUD)","",,,"REVIEW - No rule matched",,,
08/06/2025,-0.07,"Ls Dolores Mitte Berlin","Wise Charges for: CARD-2564444140","",,,"REVIEW - No rule matched",,,
08/06/2025,-11.74,"Sumup  *East Eatery Kl Berlin","Card transaction of 9.90 EUR issued by Sumup  *East Eatery Kl Berlin (fee: 0.04 AUD)","",,,"REVIEW - No rule matched",,,
08/06/2025,-0.04,"Sumup  *East Eatery Kl Berlin","Wise Charges for: CARD-2564436987","",,,"REVIEW - No rule matched",,,
06/06/2025,-27.06,"Burgermeister Berlin","Card transaction of 15.39 EUR issued by Burgermeister Berlin (fee: 0.10 AUD)","",,,"REVIEW - No rule matched",,,
06/06/2025,-0.10,"Burgermeister Berlin","Wise Charges for: CARD-2557668842","",,,"REVIEW - No rule matched",,,
06/06/2025,-71.56,"Salumeria Lamuri Berlin","Card transaction of 117.81 EUR issued by Salumeria Lamuri Berlin (fee: 0.25 AUD)","",,,"REVIEW - No rule matched",,,
06/06/2025,-0.25,"Salumeria Lamuri Berlin","Wise Charges for: CARD-2556197762","",,,"REVIEW - No rule matched",,,
22/05/2025,-48.15,"Pza Iv Novembre 1 BOSA","Card transaction of 450.00 EUR issued by Pza Iv Novembre 1 BOSA (fee: 0.16 AUD)","",,,"REVIEW - No rule matched",,,
22/05/2025,-0.16,"Pza Iv Novembre 1 BOSA","Wise Charges for: CARD-2510040676","",,,"REVIEW - No rule matched",,,
19/05/2025,-106.06,"Www.idaservice.org LONDON","Card transaction of 68.00 USD issued by Www.idaservice.org LONDON (fee: 0.39 AUD)","",,,"REVIEW - No rule matched",,,
19/05/2025,-0.39,"Www.idaservice.org LONDON","Wise Charges for: CARD-2500815970","",,,"REVIEW - No rule matched",,,
16/05/2025,-137.49,"Wagamama Hia Doha","Card transaction of 322.00 QAR issued by Wagamama Hia Doha (fee: 1.13 AUD)","",,,"REVIEW - No rule matched",,,
16/05/2025,-1.13,"Wagamama Hia Doha","Wise Charges for: CARD-2491369584","",,,"REVIEW - No rule matched",,,
06/05/2025,-49.58,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 49.58 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
03/05/2025,-18.95,"Ampol Hamilton 11781f HAMILTON","Card transaction of 18.95 AUD issued by Ampol Hamilton 11781f HAMILTON","",,,"REVIEW - No rule matched",,,
02/05/2025,-40.03,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 40.03 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
29/04/2025,-50.00,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 50.00 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
21/04/2025,-50.00,"Sq *Trustee For Growl Rac 1800595310","Card transaction of 50.00 AUD issued by Sq *Trustee For Growl Rac 1800595310","",,,"REVIEW - No rule matched",,,
16/04/2025,-175.85,"Rocking Horse Records Brisbane","Card transaction of 175.85 AUD issued by Rocking Horse Records Brisbane","",,,"REVIEW - No rule matched",,,
16/04/2025,-84.99,"Jb Hi Fi Brisbane BRISBANE CITY","Card transaction of 84.99 AUD issued by Jb Hi Fi Brisbane BRISBANE CITY","",,,"REVIEW - No rule matched",,,
13/04/2025,-106.08,"Paypal *Rax Dollies 0417402165","Card transaction of 106.08 AUD issued by Paypal *Rax Dollies 0417402165","",,,"REVIEW - No rule matched",,,
13/04/2025,-30.01,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 30.01 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
11/04/2025,-75.68,"Temu.com PARRAMATTA","Card transaction of 75.68 AUD issued by Temu.com PARRAMATTA","",,,"REVIEW - No rule matched",,,
01/04/2025,-41.39,"Tiaro Meats TIARO","Card transaction of 41.39 AUD issued by Tiaro Meats TIARO","",,,"REVIEW - No rule matched",,,
01/04/2025,-18.00,"Jaycar Electronics Aspley","Card transaction of 18.00 AUD issued by Jaycar Electronics Aspley","",,,"REVIEW - No rule matched",,,
31/03/2025,-59.58,"Uniqlo Brisbane Brisbane","Card transaction of 59.58 AUD issued by Uniqlo Brisbane Brisbane","",,,"REVIEW - No rule matched",,,
31/03/2025,-167.34,"Zlr*Ozzytyres Kelvin Gr Kelvin Grove","Card transaction of 167.34 AUD issued by Zlr*Ozzytyres Kelvin Gr Kelvin Grove","",,,"REVIEW - No rule matched",,,
29/03/2025,-12.71,"Mamak Brisbane HAYMARKET","Card transaction of 12.71 AUD issued by Mamak Brisbane HAYMARKET","",,,"REVIEW - No rule matched",,,
29/03/2025,-52.88,"Mamak Brisbane HAYMARKET","Card transaction of 52.88 AUD issued by Mamak Brisbane HAYMARKET","",,,"REVIEW - No rule matched",,,
29/03/2025,-10.00,"Qut Parking KELVIN GROVE","Card transaction of 10.00 AUD issued by Qut Parking KELVIN GROVE","",,,"REVIEW - No rule matched",,,
23/03/2025,-31.67,"Global Entertainment Fortitude Val","Card transaction of 31.67 AUD issued by Global Entertainment Fortitude Val","",,,"REVIEW - No rule matched",,,
23/03/2025,-40.60,"Yoyo Entertainment Pty COOPERS PLAIN","Card transaction of 40.60 AUD issued by Yoyo Entertainment Pty COOPERS PLAIN","",,,"REVIEW - No rule matched",,,
22/03/2025,-28.82,"Zlr*Yard Dogs Fortitude Val","Card transaction of 28.82 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
22/03/2025,-31.34,"Zlr*Yard Dogs Fortitude Val","Card transaction of 31.34 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
21/03/2025,-3.54,"Mc Sunnyplaza Pty Ltd Brisbane","Card transaction of 3.54 AUD issued by Mc Sunnyplaza Pty Ltd Brisbane","",,,"REVIEW - No rule matched",,,
21/03/2025,-10.11,"Mc Sunnyplaza Pty Ltd Brisbane","Card transaction of 10.11 AUD issued by Mc Sunnyplaza Pty Ltd Brisbane","",,,"REVIEW - No rule matched",,,
21/03/2025,-199.50,"Brisbane Cbd Csc BRISBANE","Card transaction of 199.50 AUD issued by Brisbane Cbd Csc BRISBANE","",,,"REVIEW - No rule matched",,,
21/03/2025,-11.05,"Mcdonalds Brisbaneair BRISBANE AIRP","Card transaction of 11.05 AUD issued by Mcdonalds Brisbaneair BRISBANE AIRP","",,,"REVIEW - No rule matched",,,
18/03/2025,-34.37,"Officeworks 0437 WILSTON","Card transaction of 34.37 AUD issued by Officeworks 0437 WILSTON","",,,"REVIEW - No rule matched",,,
17/03/2025,-25.35,"Post Red Hill Lpo RED HILL","Card transaction of 25.35 AUD issued by Post Red Hill Lpo RED HILL","",,,"REVIEW - No rule matched",,,
16/03/2025,-8.95,"Carls Jr Fortitude Va Underwood","Card transaction of 8.95 AUD issued by Carls Jr Fortitude Va Underwood","",,,"REVIEW - No rule matched",,,
16/03/2025,-42.00,"Destination Brisbane BRISBANE","Card transaction of 42.00 AUD issued by Destination Brisbane BRISBANE","",,,"REVIEW - No rule matched",,,
14/03/2025,-7.75,"Lonshi Pty Ltd KELVIN GROVE","Card transaction of 7.75 AUD issued by Lonshi Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
12/03/2025,-101.86,"Temu.com PARRAMATTA","Card transaction of 101.86 AUD issued by Temu.com PARRAMATTA","",,,"REVIEW - No rule matched",,,
04/03/2025,-10.30,"Hungry Jacks Helensvale","Card transaction of 10.30 AUD issued by Hungry Jacks Helensvale","",,,"REVIEW - No rule matched",,,
03/03/2025,-145.00,"Shumsher Pty Ltd SALISBURY","Card transaction of 145.00 AUD issued by Shumsher Pty Ltd SALISBURY","",,,"REVIEW - No rule matched",,,
02/03/2025,-15.12,"Paddington Tavern PADDINGTON","Card transaction of 15.12 AUD issued by Paddington Tavern PADDINGTON","",,,"REVIEW - No rule matched",,,
28/02/2025,-21.90,"Carls Jr Fortitude Va Underwood","Card transaction of 21.90 AUD issued by Carls Jr Fortitude Va Underwood","",,,"REVIEW - No rule matched",,,
28/02/2025,-21.23,"Finn Mccools Fortitude FORTITUDE VAL","Card transaction of 21.23 AUD issued by Finn Mccools Fortitude FORTITUDE VAL","",,,"REVIEW - No rule matched",,,
28/02/2025,-5.08,"Zlr*Shah Kebabs 2 Fortitude Val","Card transaction of 5.08 AUD issued by Zlr*Shah Kebabs 2 Fortitude Val","",,,"REVIEW - No rule matched",,,
28/02/2025,-11.80,"Uber *Lıme Help.uber.com Sydney","Card transaction of 11.80 AUD issued by Uber *Lıme Help.uber.com Sydney","",,,"REVIEW - No rule matched",,,
24/02/2025,-103.00,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 103.00 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
22/02/2025,-9.99,"Uber   *One SYDNEY","Card transaction of 9.99 AUD issued by Uber   *One SYDNEY","",,,"REVIEW - No rule matched",,,
19/02/2025,-173.00,"Paypal *Carsalesltd 0407595044","Card transaction of 173.00 AUD issued by Paypal *Carsalesltd 0407595044","",,,"REVIEW - No rule matched",,,
17/02/2025,-4.04,"Noah's On The Beach NEWCASTLE EAS","Card transaction of 4.04 AUD issued by Noah's On The Beach NEWCASTLE EAS","",,,"REVIEW - No rule matched",,,
16/02/2025,-217.25,"Noah's On The Beach NEWCASTLE EAS","Card transaction of 217.25 AUD issued by Noah's On The Beach NEWCASTLE EAS","",,,"REVIEW - No rule matched",,,
16/02/2025,-9.99,"Amznprimeau Membership SYDNEY SOUTH","Card transaction of 9.99 AUD issued by Amznprimeau Membership SYDNEY SOUTH","",,,"REVIEW - No rule matched",,,
15/02/2025,-106.79,"The Boathouse Group - MANLY","Card transaction of 106.79 AUD issued by The Boathouse Group - MANLY","",,,"REVIEW - No rule matched",,,
14/02/2025,-50.00,"Newtown Cozy Stays NEWTOWN","Card transaction of 50.00 AUD issued by Newtown Cozy Stays NEWTOWN","",,,"REVIEW - No rule matched",,,
13/02/2025,-300.55,"Adina Apartment Hote DARLINGTON","Card transaction of 300.55 AUD issued by Adina Apartment Hote DARLINGTON","",,,"REVIEW - No rule matched",,,
13/02/2025,-1.00,"Adina Apartment Hotel DARLINGTON","Card transaction of 1.00 AUD issued by Adina Apartment Hotel DARLINGTON","",,,"REVIEW - No rule matched",,,
12/02/2025,-36.41,"Facebk *Mqhdfkusn2 Dublin","Card transaction of 36.41 AUD issued by Facebk *Mqhdfkusn2 Dublin","",,,"REVIEW - No rule matched",,,
11/02/2025,-67.74,"Zlr*Yard Dogs Fortitude Val","Card transaction of 67.74 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
11/02/2025,-1.00,"Guzman Y Gomez Windsor","Card transaction of 1.00 AUD issued by Guzman Y Gomez Windsor","",,,"REVIEW - No rule matched",,,
11/02/2025,-482.80,"Bright Eyes Brisbane Brisbane Airp","Card transaction of 482.80 AUD issued by Bright Eyes Brisbane Brisbane Airp","",,,"REVIEW - No rule matched",,,
10/02/2025,-14.50,"Ww Metro/105-109 Commerci TENERIFFE","Card transaction of 14.50 AUD issued by Ww Metro/105-109 Commerci TENERIFFE","",,,"REVIEW - No rule matched",,,
08/02/2025,-12.45,"Sq *Hubby's Potatoes - Re Red Hill","Card transaction of 12.45 AUD issued by Sq *Hubby's Potatoes - Re Red Hill","",,,"REVIEW - No rule matched",,,
07/02/2025,-23.26,"Zlr*Yard Dogs Fortitude Val","Card transaction of 23.26 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
06/02/2025,-12.00,"Convenience Store Brisbane","Card transaction of 12.00 AUD issued by Convenience Store Brisbane","",,,"REVIEW - No rule matched",,,
04/02/2025,-12.00,"Red Ocean Seafood RED HILL","Card transaction of 12.00 AUD issued by Red Ocean Seafood RED HILL","",,,"REVIEW - No rule matched",,,
04/02/2025,-17.47,"Red Hill Pharmacy RED HILL","Card transaction of 17.47 AUD issued by Red Hill Pharmacy RED HILL","",,,"REVIEW - No rule matched",,,
02/02/2025,-2.50,"Translink Smartticket QLD","Card transaction of 2.50 AUD issued by Translink Smartticket QLD","",,,"REVIEW - No rule matched",,,
01/02/2025,-151.30,"Zlr*Maru Brisbane City Brisbane City","Card transaction of 151.30 AUD issued by Zlr*Maru Brisbane City Brisbane City","",,,"REVIEW - No rule matched",,,
31/01/2025,-302.50,"Rad Stickers WARRNAMBOOL","Card transaction of 302.50 AUD issued by Rad Stickers WARRNAMBOOL","",,,"REVIEW - No rule matched",,,
28/01/2025,-240.28,"Dragon Image Pty Ltd BOWEN HILLS","Card transaction of 240.28 AUD issued by Dragon Image Pty Ltd BOWEN HILLS","",,,"REVIEW - No rule matched",,,
25/01/2025,-12.00,"Sq *Willowbank Raceway In Willowbank","Card transaction of 12.00 AUD issued by Sq *Willowbank Raceway In Willowbank","",,,"REVIEW - No rule matched",,,
25/01/2025,-12.00,"Sq *Willowbank Raceway In Willowbank","Card transaction of 12.00 AUD issued by Sq *Willowbank Raceway In Willowbank","",,,"REVIEW - No rule matched",,,
24/01/2025,-20.47,"Chicken Of Rock Fortitude Val","Card transaction of 20.47 AUD issued by Chicken Of Rock Fortitude Val","",,,"REVIEW - No rule matched",,,
24/01/2025,-46.51,"Ampol Chermside 11885f CHERMSIDE","Card transaction of 46.51 AUD issued by Ampol Chermside 11885f CHERMSIDE","",,,"REVIEW - No rule matched",,,
23/01/2025,-82.55,"Post Red Hill Lpo RED HILL","Card transaction of 82.55 AUD issued by Post Red Hill Lpo RED HILL","",,,"REVIEW - No rule matched",,,
22/01/2025,-254.00,"Westpacburlegh Waters BURLEIGH W4","Card transaction of 254.00 AUD issued by Westpacburlegh Waters BURLEIGH W4","",,,"REVIEW - No rule matched",,,
22/01/2025,-46.23,"Sp Ozpack.au SINGAPORE","Card transaction of 46.23 AUD issued by Sp Ozpack.au SINGAPORE","",,,"REVIEW - No rule matched",,,
22/01/2025,-203.20,"Riverside Embroidery S SUMNER","Card transaction of 203.20 AUD issued by Riverside Embroidery S SUMNER","",,,"REVIEW - No rule matched",,,
20/01/2025,-44.04,"Sunstate Fuel And Con Maryborough","Card transaction of 44.04 AUD issued by Sunstate Fuel And Con Maryborough","",,,"REVIEW - No rule matched",,,
20/01/2025,-61.04,"Www.alowishus.com.au MARYBOROUGH","Card transaction of 61.04 AUD issued by Www.alowishus.com.au MARYBOROUGH","",,,"REVIEW - No rule matched",,,
18/01/2025,-9.99,"Uber *One Help.uber.com Sydney","Card transaction of 9.99 AUD issued by Uber *One Help.uber.com Sydney","",,,"REVIEW - No rule matched",,,
16/01/2025,-28.22,"Empire Holdings Qld Pt FORTITUDE VAL","Card transaction of 28.22 AUD issued by Empire Holdings Qld Pt FORTITUDE VAL","",,,"REVIEW - No rule matched",,,
